Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.099,0.969,0.7,0.288,0.408,0.912,0.08,0.974,0.717,0.46,0.56,0.945,1.0
0.079,0.974,0.769,0.424,0.547,0.947,0.074,0.976,0.799,0.437,0.565,0.952,2.0
0.076,0.975,0.777,0.446,0.567,0.952,0.074,0.976,0.83,0.419,0.557,0.955,3.0
0.073,0.975,0.783,0.461,0.581,0.956,0.072,0.976,0.777,0.478,0.592,0.956,4.0
0.071,0.976,0.788,0.476,0.594,0.959,0.071,0.976,0.762,0.501,0.605,0.958,5.0
0.07,0.976,0.788,0.481,0.598,0.96,0.07,0.977,0.743,0.533,0.62,0.958,6.0
0.069,0.977,0.792,0.491,0.607,0.963,0.07,0.977,0.808,0.472,0.596,0.958,7.0
0.067,0.977,0.799,0.502,0.616,0.964,0.074,0.975,0.672,0.588,0.627,0.959,8.0
0.066,0.977,0.8,0.507,0.621,0.966,0.073,0.977,0.856,0.417,0.561,0.958,9.0
0.066,0.977,0.8,0.515,0.627,0.967,0.069,0.977,0.791,0.495,0.609,0.959,10.0
0.064,0.978,0.801,0.523,0.633,0.968,0.072,0.976,0.695,0.572,0.628,0.959,11.0
0.063,0.978,0.807,0.533,0.642,0.97,0.071,0.977,0.82,0.464,0.593,0.959,12.0
0.063,0.978,0.809,0.537,0.645,0.971,0.071,0.976,0.703,0.565,0.627,0.96,13.0
0.062,0.978,0.808,0.542,0.649,0.972,0.072,0.976,0.686,0.587,0.632,0.959,14.0
0.061,0.979,0.81,0.55,0.655,0.973,0.072,0.977,0.814,0.454,0.583,0.956,15.0
0.06,0.979,0.812,0.555,0.659,0.974,0.077,0.974,0.635,0.629,0.632,0.959,16.0
0.059,0.979,0.815,0.564,0.667,0.975,0.073,0.976,0.683,0.597,0.637,0.958,17.0
0.059,0.979,0.811,0.569,0.669,0.975,0.073,0.977,0.803,0.483,0.603,0.957,18.0
0.058,0.98,0.816,0.575,0.674,0.976,0.072,0.977,0.755,0.532,0.624,0.957,19.0
0.056,0.98,0.815,0.589,0.684,0.977,0.072,0.976,0.718,0.564,0.632,0.957,20.0
0.056,0.98,0.814,0.593,0.686,0.978,0.073,0.976,0.707,0.573,0.633,0.956,21.0
0.055,0.981,0.82,0.603,0.695,0.979,0.073,0.976,0.703,0.58,0.635,0.956,22.0
0.054,0.981,0.82,0.606,0.697,0.98,0.079,0.976,0.81,0.447,0.576,0.953,23.0
0.053,0.981,0.821,0.612,0.701,0.98,0.075,0.976,0.692,0.582,0.632,0.955,24.0
0.053,0.981,0.825,0.615,0.705,0.981,0.078,0.976,0.797,0.458,0.582,0.952,25.0
0.052,0.981,0.825,0.621,0.709,0.982,0.075,0.976,0.701,0.561,0.623,0.955,26.0
0.05,0.982,0.83,0.628,0.715,0.983,0.075,0.976,0.724,0.556,0.629,0.954,27.0
0.05,0.982,0.832,0.628,0.716,0.983,0.076,0.975,0.688,0.578,0.628,0.954,28.0
0.049,0.982,0.834,0.64,0.724,0.984,0.095,0.975,0.842,0.378,0.522,0.946,29.0
0.048,0.982,0.833,0.644,0.726,0.985,0.082,0.976,0.79,0.46,0.581,0.95,30.0
0.048,0.982,0.835,0.646,0.728,0.985,0.086,0.972,0.613,0.616,0.614,0.948,31.0
0.047,0.982,0.836,0.651,0.732,0.985,0.079,0.975,0.685,0.569,0.622,0.953,32.0
0.047,0.983,0.841,0.66,0.739,0.986,0.083,0.976,0.732,0.502,0.596,0.946,33.0
0.046,0.983,0.842,0.666,0.744,0.987,0.093,0.97,0.568,0.643,0.603,0.95,34.0
0.046,0.983,0.844,0.665,0.744,0.987,0.081,0.975,0.699,0.556,0.619,0.949,35.0
0.045,0.983,0.847,0.674,0.751,0.987,0.083,0.974,0.672,0.554,0.607,0.947,36.0
0.044,0.983,0.847,0.674,0.751,0.987,0.084,0.974,0.651,0.592,0.62,0.949,37.0
0.043,0.984,0.851,0.683,0.757,0.988,0.085,0.976,0.744,0.501,0.599,0.944,38.0
0.043,0.984,0.853,0.685,0.76,0.989,0.088,0.973,0.625,0.597,0.611,0.95,39.0
0.042,0.984,0.855,0.693,0.766,0.989,0.1,0.976,0.792,0.436,0.562,0.941,40.0
0.042,0.984,0.855,0.692,0.765,0.989,0.089,0.976,0.77,0.468,0.582,0.947,41.0
0.04,0.985,0.861,0.706,0.776,0.99,0.089,0.976,0.719,0.527,0.608,0.946,42.0
0.04,0.985,0.861,0.708,0.777,0.99,0.09,0.974,0.648,0.584,0.615,0.945,43.0
0.04,0.985,0.86,0.712,0.779,0.99,0.094,0.972,0.606,0.596,0.601,0.945,44.0
0.04,0.985,0.858,0.709,0.776,0.99,0.095,0.972,0.614,0.581,0.597,0.946,45.0
0.038,0.985,0.864,0.719,0.785,0.991,0.092,0.974,0.661,0.556,0.604,0.944,46.0
0.038,0.986,0.867,0.72,0.787,0.992,0.099,0.97,0.575,0.609,0.592,0.944,47.0
0.038,0.985,0.862,0.721,0.785,0.991,0.094,0.974,0.673,0.544,0.602,0.944,48.0
0.037,0.986,0.87,0.732,0.795,0.992,0.094,0.974,0.672,0.55,0.605,0.942,49.0
0.036,0.986,0.87,0.733,0.796,0.992,0.1,0.972,0.607,0.587,0.597,0.941,50.0
