Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.151,0.96,0.041,0.004,0.007,0.736,0.137,0.965,0.0,0.0,0.0,0.764,1.0
0.114,0.967,0.704,0.173,0.278,0.872,0.08,0.975,0.703,0.494,0.58,0.948,2.0
0.077,0.975,0.756,0.462,0.574,0.952,0.072,0.976,0.74,0.482,0.584,0.955,3.0
0.071,0.976,0.774,0.493,0.602,0.96,0.072,0.976,0.743,0.488,0.589,0.957,4.0
0.067,0.977,0.789,0.517,0.625,0.966,0.072,0.976,0.704,0.535,0.608,0.958,5.0
0.064,0.978,0.789,0.54,0.641,0.97,0.071,0.976,0.721,0.527,0.609,0.957,6.0
0.061,0.978,0.795,0.56,0.657,0.974,0.072,0.976,0.791,0.438,0.564,0.955,7.0
0.058,0.979,0.799,0.577,0.67,0.977,0.076,0.976,0.705,0.532,0.607,0.954,8.0
0.056,0.979,0.798,0.588,0.677,0.978,0.074,0.976,0.744,0.496,0.595,0.953,9.0
0.054,0.98,0.806,0.61,0.695,0.981,0.077,0.975,0.679,0.55,0.608,0.953,10.0
0.051,0.981,0.809,0.629,0.708,0.983,0.078,0.976,0.782,0.438,0.561,0.95,11.0
0.05,0.981,0.813,0.64,0.716,0.984,0.08,0.975,0.703,0.495,0.581,0.949,12.0
0.048,0.982,0.817,0.651,0.725,0.985,0.079,0.975,0.705,0.516,0.595,0.95,13.0
0.046,0.982,0.822,0.664,0.735,0.986,0.083,0.974,0.664,0.544,0.598,0.949,14.0
0.046,0.982,0.822,0.671,0.739,0.987,0.086,0.972,0.618,0.571,0.593,0.947,15.0
0.045,0.983,0.825,0.675,0.742,0.987,0.09,0.97,0.566,0.607,0.586,0.948,16.0
0.043,0.983,0.832,0.688,0.753,0.988,0.089,0.97,0.568,0.59,0.579,0.947,17.0
0.042,0.984,0.833,0.699,0.76,0.989,0.091,0.975,0.758,0.431,0.549,0.943,18.0
0.042,0.984,0.834,0.699,0.761,0.989,0.087,0.975,0.707,0.51,0.593,0.946,19.0
0.041,0.984,0.839,0.705,0.766,0.99,0.09,0.974,0.659,0.524,0.584,0.945,20.0
0.04,0.985,0.842,0.72,0.776,0.99,0.09,0.974,0.678,0.511,0.583,0.945,21.0
0.039,0.985,0.84,0.723,0.777,0.991,0.093,0.971,0.586,0.57,0.578,0.946,22.0
0.038,0.985,0.843,0.734,0.785,0.991,0.093,0.973,0.652,0.521,0.579,0.944,23.0
0.038,0.985,0.844,0.74,0.788,0.991,0.092,0.973,0.632,0.546,0.586,0.943,24.0
0.037,0.986,0.849,0.75,0.796,0.992,0.094,0.972,0.627,0.536,0.578,0.943,25.0
0.036,0.986,0.849,0.755,0.799,0.992,0.097,0.975,0.704,0.491,0.578,0.939,26.0
0.035,0.986,0.852,0.76,0.804,0.992,0.095,0.974,0.676,0.487,0.566,0.941,27.0
0.035,0.986,0.852,0.762,0.805,0.992,0.097,0.975,0.715,0.486,0.578,0.94,28.0
0.034,0.987,0.856,0.772,0.812,0.993,0.098,0.971,0.588,0.568,0.578,0.941,29.0
0.034,0.987,0.858,0.772,0.813,0.993,0.098,0.972,0.614,0.555,0.583,0.942,30.0
0.034,0.987,0.859,0.779,0.817,0.993,0.101,0.974,0.658,0.522,0.582,0.937,31.0
0.033,0.987,0.86,0.786,0.821,0.993,0.103,0.969,0.555,0.615,0.583,0.944,32.0
0.033,0.987,0.859,0.784,0.82,0.993,0.099,0.971,0.595,0.555,0.574,0.939,33.0
0.032,0.988,0.866,0.794,0.829,0.994,0.102,0.973,0.644,0.531,0.582,0.939,34.0
0.032,0.988,0.866,0.795,0.829,0.994,0.102,0.971,0.587,0.58,0.584,0.939,35.0
0.031,0.988,0.866,0.8,0.832,0.994,0.102,0.973,0.646,0.529,0.582,0.937,36.0
0.031,0.988,0.868,0.803,0.834,0.994,0.103,0.971,0.612,0.525,0.565,0.933,37.0
0.031,0.988,0.868,0.807,0.836,0.994,0.104,0.971,0.598,0.571,0.584,0.938,38.0
0.031,0.988,0.87,0.807,0.837,0.994,0.105,0.974,0.673,0.491,0.568,0.935,39.0
0.03,0.989,0.873,0.814,0.843,0.994,0.104,0.971,0.602,0.554,0.577,0.938,40.0
0.029,0.989,0.874,0.817,0.844,0.994,0.108,0.969,0.551,0.61,0.579,0.939,41.0
0.029,0.989,0.871,0.817,0.843,0.994,0.107,0.972,0.622,0.524,0.569,0.932,42.0
0.029,0.989,0.877,0.819,0.847,0.995,0.109,0.971,0.591,0.562,0.576,0.936,43.0
0.029,0.989,0.876,0.823,0.849,0.995,0.109,0.968,0.546,0.584,0.564,0.937,44.0
0.028,0.989,0.878,0.825,0.851,0.995,0.109,0.973,0.652,0.519,0.578,0.933,45.0
0.028,0.99,0.882,0.832,0.857,0.995,0.112,0.973,0.656,0.513,0.576,0.929,46.0
0.027,0.99,0.88,0.833,0.856,0.995,0.11,0.97,0.59,0.54,0.564,0.933,47.0
0.027,0.99,0.883,0.838,0.86,0.995,0.112,0.972,0.612,0.546,0.577,0.931,48.0
0.026,0.99,0.885,0.842,0.863,0.995,0.117,0.969,0.559,0.587,0.573,0.933,49.0
0.027,0.99,0.884,0.837,0.86,0.995,0.114,0.971,0.599,0.552,0.574,0.93,50.0
