Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.151,0.96,0.022,0.002,0.004,0.732,0.142,0.963,0.0,0.0,0.0,0.774,1.0
0.115,0.968,0.758,0.171,0.278,0.86,0.058,0.979,0.749,0.668,0.706,0.977,2.0
0.054,0.981,0.803,0.635,0.709,0.98,0.053,0.981,0.792,0.657,0.718,0.982,3.0
0.048,0.982,0.821,0.663,0.734,0.984,0.052,0.981,0.82,0.637,0.717,0.982,4.0
0.045,0.984,0.832,0.687,0.753,0.987,0.053,0.981,0.787,0.661,0.718,0.982,5.0
0.04,0.985,0.843,0.722,0.778,0.99,0.053,0.981,0.778,0.675,0.723,0.982,6.0
0.036,0.986,0.853,0.755,0.801,0.993,0.056,0.98,0.774,0.654,0.709,0.979,7.0
0.032,0.988,0.864,0.782,0.821,0.994,0.065,0.98,0.814,0.612,0.699,0.977,8.0
0.029,0.989,0.872,0.808,0.839,0.995,0.064,0.981,0.814,0.619,0.703,0.978,9.0
0.026,0.99,0.884,0.832,0.857,0.996,0.067,0.979,0.745,0.661,0.7,0.976,10.0
0.024,0.991,0.893,0.853,0.873,0.997,0.074,0.978,0.718,0.671,0.694,0.973,11.0
0.023,0.991,0.897,0.865,0.881,0.997,0.075,0.979,0.748,0.647,0.694,0.974,12.0
0.021,0.992,0.907,0.879,0.892,0.998,0.077,0.978,0.705,0.699,0.702,0.974,13.0
0.02,0.993,0.909,0.888,0.898,0.998,0.075,0.978,0.723,0.666,0.693,0.974,14.0
0.019,0.993,0.909,0.895,0.902,0.998,0.077,0.978,0.706,0.694,0.7,0.973,15.0
0.018,0.993,0.914,0.905,0.909,0.998,0.078,0.978,0.7,0.707,0.704,0.973,16.0
0.017,0.994,0.918,0.911,0.915,0.998,0.086,0.979,0.757,0.64,0.694,0.97,17.0
0.017,0.994,0.921,0.92,0.921,0.998,0.088,0.978,0.716,0.682,0.699,0.969,18.0
0.016,0.994,0.922,0.927,0.924,0.999,0.096,0.979,0.767,0.624,0.688,0.965,19.0
0.015,0.995,0.929,0.932,0.931,0.999,0.094,0.979,0.74,0.648,0.691,0.967,20.0
0.014,0.995,0.932,0.94,0.936,0.999,0.094,0.978,0.725,0.663,0.693,0.968,21.0
0.013,0.995,0.933,0.944,0.939,0.999,0.098,0.978,0.726,0.667,0.695,0.967,22.0
0.013,0.996,0.935,0.944,0.94,0.999,0.096,0.979,0.746,0.65,0.695,0.967,23.0
0.012,0.996,0.939,0.947,0.943,0.999,0.098,0.978,0.721,0.672,0.696,0.968,24.0
0.012,0.996,0.941,0.952,0.947,0.999,0.102,0.978,0.724,0.663,0.692,0.965,25.0
0.011,0.996,0.944,0.953,0.948,0.999,0.105,0.979,0.741,0.649,0.692,0.964,26.0
0.011,0.996,0.948,0.956,0.952,0.999,0.103,0.977,0.691,0.697,0.694,0.966,27.0
0.01,0.997,0.95,0.957,0.953,0.999,0.103,0.979,0.736,0.659,0.696,0.965,28.0
0.011,0.996,0.947,0.955,0.951,0.999,0.103,0.978,0.714,0.676,0.695,0.966,29.0
0.01,0.997,0.951,0.955,0.953,0.999,0.102,0.978,0.729,0.666,0.696,0.966,30.0
0.009,0.997,0.956,0.962,0.959,0.999,0.108,0.978,0.707,0.673,0.69,0.965,31.0
0.009,0.997,0.956,0.961,0.959,0.999,0.107,0.978,0.718,0.673,0.695,0.966,32.0
0.009,0.997,0.957,0.962,0.96,0.999,0.109,0.979,0.744,0.655,0.696,0.966,33.0
0.009,0.997,0.958,0.963,0.96,0.999,0.108,0.978,0.728,0.668,0.697,0.964,34.0
0.009,0.997,0.959,0.963,0.961,0.999,0.11,0.977,0.706,0.672,0.689,0.965,35.0
0.008,0.997,0.963,0.967,0.965,0.999,0.11,0.975,0.645,0.732,0.685,0.968,36.0
0.008,0.997,0.963,0.967,0.965,0.999,0.109,0.976,0.67,0.715,0.692,0.967,37.0
0.008,0.998,0.964,0.968,0.966,0.999,0.113,0.978,0.737,0.647,0.689,0.966,38.0
0.008,0.998,0.965,0.969,0.967,0.999,0.109,0.978,0.716,0.677,0.696,0.966,39.0
0.008,0.997,0.963,0.967,0.965,0.999,0.108,0.977,0.699,0.691,0.695,0.966,40.0
0.007,0.998,0.966,0.97,0.968,0.999,0.112,0.979,0.751,0.633,0.687,0.965,41.0
0.007,0.998,0.968,0.972,0.97,0.999,0.114,0.978,0.71,0.678,0.694,0.967,42.0
0.007,0.998,0.969,0.973,0.971,0.999,0.109,0.978,0.701,0.701,0.701,0.968,43.0
0.007,0.998,0.969,0.973,0.971,1.0,0.115,0.978,0.729,0.664,0.695,0.966,44.0
0.007,0.998,0.969,0.974,0.971,1.0,0.116,0.979,0.771,0.627,0.692,0.964,45.0
0.006,0.998,0.971,0.975,0.973,1.0,0.117,0.979,0.749,0.644,0.692,0.965,46.0
0.006,0.998,0.969,0.973,0.971,1.0,0.116,0.978,0.722,0.672,0.696,0.965,47.0
0.006,0.998,0.972,0.976,0.974,1.0,0.114,0.978,0.709,0.683,0.696,0.965,48.0
0.006,0.998,0.973,0.976,0.974,1.0,0.12,0.978,0.731,0.65,0.688,0.965,49.0
0.006,0.998,0.971,0.974,0.972,1.0,0.114,0.978,0.72,0.673,0.695,0.967,50.0
