Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.147,0.961,0.059,0.004,0.008,0.764,0.108,0.964,0.0,0.0,0.0,0.899,1.0
0.067,0.978,0.795,0.538,0.642,0.963,0.06,0.98,0.823,0.573,0.676,0.972,2.0
0.056,0.981,0.817,0.617,0.703,0.976,0.057,0.981,0.785,0.637,0.703,0.974,3.0
0.051,0.982,0.831,0.656,0.734,0.982,0.061,0.979,0.74,0.651,0.693,0.973,4.0
0.045,0.984,0.842,0.69,0.759,0.986,0.06,0.98,0.775,0.639,0.7,0.972,5.0
0.04,0.986,0.854,0.731,0.788,0.99,0.062,0.98,0.771,0.632,0.695,0.971,6.0
0.035,0.987,0.868,0.769,0.816,0.992,0.066,0.978,0.714,0.661,0.686,0.97,7.0
0.032,0.988,0.877,0.8,0.836,0.994,0.07,0.978,0.697,0.681,0.689,0.968,8.0
0.029,0.99,0.884,0.823,0.852,0.995,0.073,0.98,0.794,0.591,0.677,0.967,9.0
0.027,0.99,0.893,0.839,0.865,0.996,0.077,0.979,0.751,0.623,0.681,0.967,10.0
0.025,0.991,0.899,0.855,0.876,0.996,0.078,0.979,0.738,0.631,0.681,0.966,11.0
0.023,0.992,0.906,0.864,0.885,0.997,0.08,0.979,0.738,0.634,0.682,0.965,12.0
0.023,0.992,0.906,0.875,0.89,0.997,0.082,0.978,0.723,0.623,0.669,0.963,13.0
0.022,0.992,0.91,0.88,0.895,0.997,0.087,0.978,0.718,0.638,0.676,0.963,14.0
0.021,0.993,0.914,0.89,0.902,0.997,0.089,0.979,0.756,0.612,0.676,0.962,15.0
0.019,0.993,0.92,0.9,0.91,0.997,0.089,0.978,0.706,0.65,0.677,0.961,16.0
0.019,0.993,0.919,0.901,0.91,0.997,0.088,0.976,0.677,0.668,0.672,0.962,17.0
0.019,0.994,0.92,0.907,0.913,0.998,0.092,0.976,0.678,0.653,0.665,0.961,18.0
0.018,0.994,0.923,0.911,0.917,0.998,0.093,0.975,0.659,0.669,0.664,0.96,19.0
0.017,0.995,0.93,0.92,0.925,0.998,0.093,0.977,0.705,0.647,0.675,0.961,20.0
0.016,0.995,0.934,0.924,0.929,0.998,0.095,0.978,0.74,0.616,0.673,0.959,21.0
0.016,0.995,0.933,0.925,0.929,0.998,0.095,0.976,0.659,0.671,0.665,0.962,22.0
0.015,0.995,0.938,0.933,0.936,0.998,0.099,0.977,0.711,0.636,0.671,0.959,23.0
0.014,0.995,0.939,0.937,0.938,0.998,0.102,0.978,0.727,0.62,0.669,0.957,24.0
0.014,0.995,0.941,0.936,0.939,0.998,0.102,0.978,0.742,0.599,0.663,0.957,25.0
0.013,0.996,0.941,0.941,0.941,0.999,0.103,0.978,0.722,0.618,0.666,0.958,26.0
0.012,0.996,0.945,0.946,0.945,0.999,0.103,0.975,0.659,0.668,0.664,0.957,27.0
0.012,0.996,0.95,0.948,0.949,0.999,0.104,0.975,0.652,0.681,0.666,0.958,28.0
0.012,0.996,0.945,0.946,0.946,0.999,0.103,0.978,0.725,0.625,0.671,0.954,29.0
0.011,0.996,0.951,0.95,0.951,0.999,0.112,0.977,0.699,0.635,0.665,0.952,30.0
0.011,0.996,0.953,0.952,0.952,0.999,0.111,0.978,0.722,0.636,0.676,0.955,31.0
0.01,0.997,0.956,0.953,0.954,0.999,0.115,0.975,0.659,0.665,0.662,0.954,32.0
0.01,0.997,0.955,0.955,0.955,0.999,0.114,0.978,0.714,0.634,0.672,0.953,33.0
0.01,0.997,0.956,0.955,0.955,0.999,0.114,0.977,0.7,0.629,0.663,0.951,34.0
0.01,0.997,0.957,0.955,0.956,0.999,0.115,0.977,0.707,0.631,0.667,0.952,35.0
0.009,0.997,0.961,0.962,0.962,0.999,0.121,0.976,0.677,0.647,0.662,0.951,36.0
0.009,0.997,0.963,0.963,0.963,0.999,0.122,0.977,0.706,0.62,0.66,0.946,37.0
0.009,0.997,0.959,0.959,0.959,0.999,0.119,0.976,0.676,0.639,0.657,0.949,38.0
0.008,0.997,0.963,0.964,0.963,0.999,0.121,0.976,0.671,0.661,0.666,0.951,39.0
0.008,0.997,0.966,0.965,0.965,0.999,0.123,0.977,0.717,0.614,0.661,0.945,40.0
0.008,0.997,0.967,0.965,0.966,0.999,0.121,0.977,0.694,0.643,0.667,0.948,41.0
0.009,0.997,0.963,0.961,0.962,0.999,0.123,0.976,0.681,0.644,0.662,0.947,42.0
0.008,0.998,0.967,0.967,0.967,0.999,0.125,0.978,0.736,0.6,0.661,0.942,43.0
0.007,0.998,0.969,0.968,0.969,1.0,0.127,0.976,0.683,0.644,0.663,0.947,44.0
0.007,0.998,0.97,0.968,0.969,1.0,0.124,0.977,0.706,0.646,0.675,0.946,45.0
0.007,0.998,0.971,0.97,0.971,1.0,0.128,0.978,0.72,0.625,0.669,0.943,46.0
0.007,0.998,0.97,0.97,0.97,1.0,0.127,0.977,0.689,0.642,0.665,0.945,47.0
0.007,0.998,0.971,0.97,0.971,1.0,0.132,0.976,0.68,0.639,0.659,0.941,48.0
0.006,0.998,0.974,0.974,0.974,1.0,0.131,0.976,0.685,0.648,0.666,0.941,49.0
0.006,0.998,0.974,0.974,0.974,1.0,0.135,0.978,0.736,0.604,0.664,0.933,50.0
