Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.109,0.966,0.62,0.179,0.278,0.898,0.134,0.962,0.389,0.075,0.125,0.834,1.0
0.065,0.977,0.785,0.519,0.625,0.97,0.167,0.962,0.299,0.034,0.062,0.792,2.0
0.04,0.985,0.858,0.726,0.786,0.99,0.255,0.961,0.253,0.038,0.066,0.763,3.0
0.028,0.99,0.892,0.813,0.851,0.996,0.275,0.958,0.234,0.067,0.105,0.74,4.0
0.021,0.992,0.915,0.861,0.887,0.998,0.353,0.958,0.21,0.061,0.094,0.741,5.0
0.018,0.993,0.925,0.885,0.905,0.998,0.439,0.961,0.198,0.027,0.048,0.727,6.0
0.015,0.994,0.939,0.908,0.923,0.999,0.426,0.957,0.18,0.054,0.083,0.713,7.0
0.012,0.995,0.949,0.927,0.937,0.999,0.488,0.957,0.181,0.049,0.078,0.714,8.0
0.01,0.996,0.958,0.944,0.951,0.999,0.574,0.959,0.188,0.037,0.062,0.732,9.0
0.009,0.997,0.961,0.951,0.956,1.0,0.563,0.957,0.161,0.046,0.072,0.723,10.0
0.008,0.997,0.968,0.961,0.964,1.0,0.637,0.958,0.169,0.041,0.065,0.712,11.0
0.007,0.998,0.972,0.966,0.969,1.0,0.671,0.958,0.185,0.049,0.078,0.723,12.0
0.006,0.998,0.978,0.975,0.977,1.0,0.673,0.958,0.171,0.039,0.063,0.685,13.0
0.006,0.998,0.978,0.975,0.976,1.0,0.627,0.954,0.168,0.066,0.094,0.689,14.0
0.006,0.999,0.983,0.981,0.982,1.0,0.774,0.958,0.178,0.045,0.071,0.706,15.0
0.005,0.999,0.985,0.982,0.983,1.0,0.712,0.957,0.174,0.049,0.076,0.716,16.0
0.006,0.999,0.985,0.983,0.984,1.0,0.618,0.959,0.169,0.036,0.059,0.733,17.0
0.006,0.999,0.985,0.983,0.984,1.0,0.766,0.959,0.188,0.041,0.067,0.691,18.0
0.005,0.999,0.987,0.986,0.986,1.0,0.714,0.958,0.179,0.043,0.069,0.694,19.0
0.005,0.999,0.987,0.987,0.987,1.0,0.803,0.958,0.153,0.033,0.054,0.714,20.0
0.005,0.999,0.989,0.988,0.989,1.0,0.922,0.958,0.173,0.043,0.069,0.705,21.0
0.007,0.999,0.988,0.988,0.988,0.999,0.828,0.957,0.176,0.053,0.081,0.717,22.0
0.008,0.999,0.989,0.988,0.988,0.999,0.775,0.956,0.174,0.058,0.087,0.705,23.0
0.008,0.999,0.987,0.987,0.987,0.999,0.756,0.958,0.166,0.037,0.06,0.687,24.0
0.007,0.999,0.992,0.991,0.991,0.999,0.704,0.956,0.184,0.059,0.089,0.685,25.0
0.008,0.999,0.991,0.99,0.99,0.999,0.761,0.957,0.167,0.046,0.072,0.711,26.0
0.007,0.999,0.992,0.99,0.991,0.999,0.748,0.956,0.159,0.047,0.073,0.698,27.0
0.005,0.999,0.992,0.992,0.992,0.999,0.764,0.957,0.177,0.053,0.081,0.698,28.0
0.005,0.999,0.993,0.992,0.992,0.999,0.822,0.957,0.178,0.051,0.08,0.696,29.0
0.007,0.999,0.993,0.993,0.993,0.999,0.955,0.959,0.17,0.034,0.057,0.714,30.0
0.008,0.999,0.991,0.992,0.991,0.999,0.812,0.958,0.178,0.043,0.069,0.714,31.0
0.007,0.999,0.992,0.993,0.993,0.999,0.845,0.958,0.175,0.044,0.07,0.711,32.0
0.006,0.999,0.993,0.992,0.993,0.999,0.793,0.954,0.165,0.064,0.092,0.696,33.0
0.007,0.999,0.992,0.992,0.992,0.999,1.103,0.959,0.173,0.035,0.058,0.687,34.0
0.008,0.999,0.993,0.992,0.992,0.999,0.864,0.957,0.182,0.052,0.081,0.707,35.0
0.007,0.999,0.993,0.993,0.993,0.999,0.935,0.958,0.166,0.038,0.062,0.657,36.0
0.007,0.999,0.993,0.993,0.993,0.999,1.077,0.959,0.169,0.035,0.058,0.639,37.0
0.007,1.0,0.995,0.994,0.994,0.999,0.841,0.957,0.175,0.047,0.074,0.691,38.0
0.007,1.0,0.993,0.994,0.994,0.999,0.962,0.955,0.16,0.056,0.083,0.656,39.0
0.007,1.0,0.995,0.994,0.994,0.999,0.999,0.957,0.173,0.046,0.073,0.675,40.0
0.008,1.0,0.993,0.993,0.993,0.999,0.849,0.957,0.158,0.041,0.065,0.693,41.0
0.008,0.999,0.992,0.992,0.992,0.999,0.97,0.96,0.157,0.023,0.04,0.66,42.0
0.008,1.0,0.994,0.994,0.994,0.999,0.984,0.958,0.167,0.04,0.065,0.671,43.0
0.01,0.999,0.993,0.992,0.993,0.999,0.789,0.958,0.171,0.042,0.068,0.691,44.0
0.009,1.0,0.993,0.993,0.993,0.999,0.98,0.96,0.179,0.032,0.054,0.697,45.0
0.011,0.999,0.993,0.993,0.993,0.999,0.983,0.96,0.189,0.03,0.051,0.706,46.0
0.01,1.0,0.994,0.993,0.994,0.999,0.979,0.956,0.164,0.051,0.078,0.675,47.0
0.01,0.999,0.994,0.993,0.993,0.999,0.959,0.957,0.151,0.04,0.063,0.67,48.0
0.011,0.999,0.992,0.993,0.992,0.999,0.888,0.958,0.165,0.035,0.058,0.69,49.0
0.01,0.999,0.993,0.993,0.993,0.999,0.897,0.958,0.177,0.044,0.071,0.699,50.0
