Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.095,0.97,0.709,0.324,0.444,0.923,0.073,0.976,0.764,0.489,0.597,0.961,1.0
0.069,0.976,0.783,0.483,0.597,0.964,0.068,0.977,0.83,0.459,0.591,0.967,2.0
0.064,0.978,0.8,0.517,0.628,0.97,0.065,0.977,0.803,0.499,0.616,0.969,3.0
0.061,0.978,0.805,0.541,0.647,0.974,0.064,0.977,0.815,0.492,0.613,0.97,4.0
0.058,0.979,0.816,0.56,0.664,0.977,0.064,0.978,0.817,0.501,0.621,0.971,5.0
0.055,0.98,0.819,0.576,0.676,0.979,0.063,0.978,0.814,0.514,0.63,0.971,6.0
0.053,0.981,0.828,0.591,0.69,0.981,0.065,0.977,0.834,0.481,0.61,0.971,7.0
0.051,0.981,0.835,0.608,0.703,0.983,0.063,0.978,0.76,0.573,0.654,0.971,8.0
0.049,0.982,0.843,0.624,0.717,0.985,0.064,0.977,0.761,0.563,0.647,0.971,9.0
0.047,0.983,0.849,0.637,0.728,0.986,0.066,0.977,0.716,0.603,0.654,0.97,10.0
0.045,0.983,0.849,0.661,0.743,0.988,0.067,0.977,0.778,0.53,0.631,0.969,11.0
0.043,0.984,0.855,0.674,0.754,0.989,0.07,0.977,0.796,0.494,0.61,0.967,12.0
0.041,0.984,0.857,0.69,0.764,0.99,0.071,0.977,0.779,0.506,0.613,0.967,13.0
0.04,0.985,0.861,0.698,0.771,0.991,0.07,0.977,0.756,0.536,0.628,0.967,14.0
0.038,0.985,0.868,0.712,0.782,0.992,0.071,0.976,0.744,0.546,0.629,0.965,15.0
0.037,0.986,0.874,0.724,0.792,0.992,0.072,0.976,0.728,0.554,0.629,0.964,16.0
0.036,0.986,0.873,0.731,0.796,0.993,0.074,0.976,0.762,0.518,0.617,0.964,17.0
0.034,0.987,0.882,0.745,0.808,0.994,0.074,0.976,0.716,0.569,0.634,0.963,18.0
0.033,0.987,0.885,0.752,0.813,0.994,0.076,0.976,0.707,0.568,0.63,0.961,19.0
0.032,0.988,0.888,0.76,0.819,0.994,0.08,0.976,0.758,0.51,0.61,0.959,20.0
0.031,0.988,0.892,0.768,0.825,0.995,0.08,0.974,0.678,0.576,0.623,0.961,21.0
0.03,0.988,0.893,0.776,0.831,0.995,0.08,0.975,0.699,0.554,0.618,0.96,22.0
0.03,0.989,0.896,0.783,0.835,0.995,0.082,0.975,0.684,0.586,0.631,0.961,23.0
0.029,0.989,0.897,0.789,0.839,0.996,0.084,0.976,0.726,0.543,0.621,0.959,24.0
0.028,0.989,0.901,0.797,0.846,0.996,0.085,0.974,0.655,0.602,0.628,0.961,25.0
0.027,0.99,0.904,0.8,0.849,0.996,0.087,0.976,0.731,0.54,0.621,0.958,26.0
0.027,0.99,0.905,0.806,0.852,0.996,0.087,0.975,0.686,0.57,0.623,0.956,27.0
0.026,0.99,0.91,0.814,0.859,0.997,0.088,0.974,0.681,0.569,0.62,0.957,28.0
0.025,0.99,0.908,0.819,0.862,0.997,0.091,0.974,0.685,0.563,0.618,0.955,29.0
0.024,0.991,0.912,0.826,0.867,0.997,0.095,0.975,0.725,0.518,0.605,0.954,30.0
0.024,0.991,0.915,0.829,0.87,0.997,0.093,0.974,0.66,0.593,0.625,0.958,31.0
0.023,0.991,0.918,0.835,0.874,0.997,0.096,0.974,0.675,0.568,0.617,0.954,32.0
0.023,0.991,0.917,0.838,0.876,0.998,0.097,0.974,0.683,0.559,0.615,0.953,33.0
0.022,0.991,0.918,0.842,0.878,0.998,0.101,0.975,0.713,0.525,0.605,0.95,34.0
0.022,0.992,0.918,0.844,0.879,0.998,0.101,0.975,0.696,0.55,0.615,0.953,35.0
0.021,0.992,0.922,0.85,0.884,0.998,0.104,0.975,0.702,0.536,0.608,0.952,36.0
0.021,0.992,0.925,0.857,0.89,0.998,0.106,0.975,0.719,0.522,0.605,0.953,37.0
0.02,0.992,0.926,0.858,0.891,0.998,0.104,0.973,0.648,0.586,0.615,0.952,38.0
0.02,0.992,0.927,0.861,0.893,0.998,0.106,0.974,0.66,0.573,0.613,0.951,39.0
0.019,0.993,0.93,0.865,0.896,0.998,0.109,0.974,0.676,0.562,0.613,0.95,40.0
0.019,0.993,0.929,0.868,0.898,0.998,0.112,0.974,0.677,0.555,0.61,0.951,41.0
0.019,0.993,0.928,0.869,0.897,0.998,0.112,0.974,0.677,0.537,0.599,0.95,42.0
0.019,0.993,0.931,0.872,0.901,0.998,0.114,0.973,0.659,0.563,0.608,0.95,43.0
0.018,0.993,0.933,0.876,0.904,0.999,0.116,0.974,0.67,0.559,0.609,0.949,44.0
0.018,0.993,0.934,0.88,0.906,0.999,0.116,0.973,0.663,0.555,0.604,0.95,45.0
0.018,0.993,0.931,0.876,0.903,0.999,0.119,0.973,0.638,0.588,0.612,0.951,46.0
0.017,0.994,0.938,0.886,0.911,0.999,0.12,0.973,0.665,0.554,0.605,0.949,47.0
0.017,0.994,0.937,0.887,0.911,0.999,0.123,0.972,0.617,0.598,0.607,0.95,48.0
0.017,0.994,0.937,0.888,0.912,0.999,0.126,0.974,0.693,0.525,0.597,0.947,49.0
0.016,0.994,0.938,0.89,0.914,0.999,0.127,0.974,0.689,0.537,0.604,0.947,50.0
