Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.442,0.904,0.229,0.681,0.343,0.837,0.239,0.976,0.661,0.674,0.668,0.817,1.0
0.195,0.977,0.721,0.613,0.663,0.907,0.139,0.98,0.799,0.608,0.691,0.875,2.0
0.124,0.979,0.771,0.603,0.676,0.931,0.098,0.981,0.787,0.635,0.703,0.944,3.0
0.094,0.979,0.786,0.605,0.684,0.945,0.08,0.98,0.766,0.659,0.709,0.932,4.0
0.08,0.979,0.783,0.605,0.683,0.958,0.07,0.981,0.826,0.589,0.687,0.952,5.0
0.072,0.98,0.795,0.604,0.687,0.96,0.066,0.981,0.816,0.608,0.697,0.947,6.0
0.067,0.98,0.793,0.604,0.686,0.966,0.062,0.98,0.773,0.639,0.7,0.963,7.0
0.064,0.98,0.798,0.606,0.689,0.969,0.059,0.981,0.805,0.625,0.704,0.962,8.0
0.062,0.98,0.798,0.609,0.691,0.972,0.057,0.981,0.808,0.624,0.704,0.965,9.0
0.06,0.98,0.8,0.608,0.691,0.975,0.058,0.981,0.782,0.643,0.706,0.972,10.0
0.059,0.98,0.795,0.612,0.692,0.975,0.056,0.981,0.79,0.641,0.708,0.974,11.0
0.059,0.98,0.794,0.608,0.688,0.975,0.056,0.981,0.794,0.633,0.705,0.978,12.0
0.058,0.98,0.793,0.613,0.691,0.977,0.057,0.981,0.809,0.62,0.702,0.974,13.0
0.058,0.98,0.796,0.615,0.694,0.977,0.056,0.981,0.814,0.619,0.703,0.976,14.0
0.057,0.98,0.8,0.61,0.692,0.978,0.054,0.981,0.809,0.623,0.704,0.98,15.0
0.057,0.98,0.798,0.612,0.693,0.977,0.055,0.981,0.842,0.571,0.681,0.979,16.0
0.056,0.98,0.803,0.616,0.697,0.978,0.056,0.981,0.797,0.635,0.707,0.979,17.0
0.057,0.98,0.801,0.612,0.694,0.978,0.055,0.981,0.817,0.619,0.705,0.978,18.0
0.057,0.98,0.798,0.608,0.69,0.977,0.055,0.981,0.764,0.682,0.72,0.979,19.0
0.057,0.98,0.796,0.612,0.692,0.978,0.055,0.981,0.805,0.627,0.705,0.979,20.0
0.057,0.98,0.792,0.614,0.692,0.977,0.055,0.981,0.816,0.613,0.7,0.978,21.0
0.057,0.98,0.798,0.614,0.694,0.977,0.055,0.981,0.816,0.626,0.709,0.98,22.0
0.057,0.98,0.799,0.609,0.691,0.978,0.055,0.981,0.805,0.639,0.712,0.98,23.0
0.056,0.98,0.795,0.616,0.694,0.978,0.054,0.981,0.78,0.648,0.708,0.979,24.0
0.057,0.98,0.797,0.612,0.692,0.978,0.054,0.981,0.808,0.618,0.701,0.98,25.0
0.056,0.98,0.8,0.612,0.694,0.978,0.054,0.981,0.808,0.627,0.706,0.98,26.0
0.056,0.98,0.795,0.617,0.695,0.979,0.055,0.981,0.793,0.648,0.713,0.98,27.0
0.056,0.98,0.794,0.615,0.693,0.979,0.053,0.981,0.799,0.639,0.71,0.98,28.0
0.056,0.98,0.796,0.613,0.692,0.979,0.054,0.981,0.772,0.662,0.712,0.98,29.0
0.056,0.98,0.797,0.617,0.695,0.979,0.054,0.981,0.812,0.628,0.708,0.98,30.0
0.056,0.98,0.797,0.615,0.694,0.978,0.054,0.981,0.787,0.661,0.718,0.98,31.0
0.056,0.98,0.793,0.614,0.692,0.978,0.055,0.981,0.79,0.657,0.718,0.979,32.0
0.057,0.98,0.798,0.613,0.694,0.978,0.054,0.981,0.788,0.659,0.718,0.98,33.0
0.056,0.98,0.8,0.617,0.697,0.978,0.054,0.981,0.806,0.637,0.712,0.98,34.0
0.056,0.98,0.799,0.613,0.694,0.978,0.054,0.981,0.816,0.626,0.709,0.98,35.0
0.056,0.98,0.801,0.616,0.696,0.978,0.054,0.981,0.806,0.639,0.713,0.981,36.0
0.056,0.98,0.8,0.614,0.695,0.978,0.056,0.981,0.802,0.638,0.711,0.978,37.0
0.056,0.98,0.803,0.607,0.691,0.978,0.053,0.981,0.81,0.627,0.707,0.981,38.0
0.056,0.98,0.799,0.612,0.693,0.978,0.053,0.981,0.807,0.637,0.712,0.981,39.0
0.056,0.98,0.797,0.608,0.689,0.978,0.053,0.981,0.811,0.621,0.703,0.981,40.0
0.056,0.98,0.801,0.615,0.696,0.978,0.054,0.981,0.813,0.626,0.707,0.979,41.0
0.056,0.98,0.8,0.614,0.695,0.978,0.055,0.981,0.813,0.623,0.706,0.98,42.0
0.057,0.98,0.799,0.612,0.693,0.977,0.056,0.981,0.783,0.649,0.71,0.98,43.0
0.057,0.98,0.797,0.612,0.693,0.977,0.054,0.982,0.803,0.648,0.717,0.98,44.0
0.056,0.98,0.799,0.613,0.693,0.978,0.054,0.981,0.786,0.645,0.708,0.98,45.0
0.056,0.98,0.801,0.616,0.696,0.978,0.055,0.981,0.786,0.653,0.713,0.978,46.0
0.056,0.98,0.798,0.615,0.695,0.978,0.054,0.981,0.818,0.626,0.709,0.979,47.0
0.056,0.98,0.801,0.613,0.694,0.978,0.055,0.981,0.81,0.629,0.708,0.979,48.0
0.056,0.98,0.802,0.61,0.693,0.978,0.054,0.981,0.807,0.623,0.703,0.98,49.0
0.056,0.98,0.795,0.614,0.693,0.978,0.056,0.981,0.817,0.622,0.706,0.978,50.0
