Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.45,0.899,0.202,0.585,0.3,0.798,0.254,0.975,0.688,0.536,0.603,0.801,1.0
0.201,0.975,0.711,0.552,0.621,0.882,0.141,0.979,0.823,0.507,0.627,0.855,2.0
0.129,0.977,0.763,0.55,0.639,0.912,0.102,0.98,0.806,0.561,0.662,0.87,3.0
0.1,0.978,0.78,0.553,0.647,0.928,0.084,0.98,0.806,0.567,0.666,0.923,4.0
0.086,0.978,0.782,0.564,0.656,0.941,0.077,0.98,0.817,0.565,0.668,0.925,5.0
0.078,0.978,0.792,0.555,0.653,0.945,0.073,0.979,0.857,0.5,0.632,0.921,6.0
0.074,0.978,0.79,0.561,0.656,0.954,0.068,0.98,0.799,0.575,0.669,0.944,7.0
0.071,0.978,0.792,0.566,0.66,0.957,0.067,0.978,0.738,0.6,0.662,0.952,8.0
0.069,0.978,0.791,0.553,0.651,0.961,0.064,0.98,0.838,0.536,0.654,0.959,9.0
0.068,0.978,0.793,0.556,0.654,0.963,0.064,0.98,0.766,0.625,0.688,0.964,10.0
0.067,0.978,0.785,0.565,0.657,0.964,0.065,0.98,0.785,0.6,0.68,0.963,11.0
0.066,0.978,0.79,0.561,0.656,0.965,0.064,0.98,0.793,0.59,0.676,0.966,12.0
0.066,0.978,0.787,0.561,0.655,0.966,0.063,0.98,0.809,0.577,0.674,0.968,13.0
0.066,0.978,0.79,0.556,0.653,0.966,0.065,0.98,0.824,0.555,0.664,0.967,14.0
0.066,0.978,0.786,0.564,0.657,0.964,0.064,0.979,0.765,0.596,0.67,0.967,15.0
0.066,0.978,0.788,0.56,0.655,0.965,0.063,0.98,0.803,0.589,0.68,0.968,16.0
0.065,0.978,0.785,0.562,0.655,0.966,0.062,0.98,0.785,0.602,0.681,0.969,17.0
0.065,0.978,0.789,0.559,0.655,0.966,0.065,0.98,0.824,0.548,0.658,0.967,18.0
0.065,0.978,0.793,0.558,0.655,0.966,0.063,0.98,0.822,0.551,0.66,0.97,19.0
0.065,0.978,0.786,0.555,0.65,0.966,0.065,0.98,0.805,0.575,0.671,0.968,20.0
0.065,0.978,0.785,0.559,0.653,0.966,0.065,0.979,0.76,0.585,0.661,0.967,21.0
0.066,0.978,0.789,0.55,0.648,0.966,0.063,0.98,0.777,0.602,0.678,0.969,22.0
0.066,0.978,0.788,0.555,0.651,0.965,0.063,0.978,0.722,0.633,0.675,0.968,23.0
0.065,0.978,0.791,0.557,0.654,0.966,0.063,0.98,0.82,0.553,0.661,0.967,24.0
0.065,0.978,0.788,0.558,0.653,0.966,0.063,0.98,0.823,0.565,0.67,0.968,25.0
0.065,0.978,0.792,0.554,0.652,0.966,0.062,0.98,0.821,0.559,0.665,0.97,26.0
0.065,0.978,0.792,0.555,0.653,0.966,0.063,0.98,0.825,0.546,0.657,0.97,27.0
0.065,0.978,0.793,0.561,0.657,0.966,0.066,0.98,0.819,0.558,0.664,0.967,28.0
0.065,0.978,0.792,0.56,0.656,0.965,0.064,0.98,0.82,0.563,0.667,0.967,29.0
0.065,0.978,0.795,0.56,0.658,0.967,0.064,0.98,0.817,0.566,0.669,0.968,30.0
0.065,0.978,0.792,0.552,0.651,0.966,0.065,0.98,0.823,0.546,0.657,0.967,31.0
0.065,0.978,0.793,0.555,0.653,0.966,0.065,0.978,0.733,0.611,0.666,0.968,32.0
0.065,0.978,0.79,0.551,0.649,0.966,0.065,0.98,0.813,0.562,0.664,0.967,33.0
0.065,0.978,0.789,0.551,0.649,0.966,0.067,0.979,0.855,0.499,0.631,0.966,34.0
0.066,0.978,0.789,0.554,0.651,0.965,0.066,0.98,0.837,0.53,0.649,0.966,35.0
0.066,0.978,0.787,0.552,0.649,0.964,0.066,0.979,0.825,0.539,0.652,0.966,36.0
0.065,0.978,0.788,0.554,0.651,0.966,0.064,0.979,0.755,0.602,0.67,0.967,37.0
0.066,0.978,0.789,0.544,0.644,0.965,0.066,0.98,0.81,0.566,0.666,0.966,38.0
0.066,0.978,0.789,0.554,0.651,0.966,0.066,0.98,0.814,0.561,0.664,0.964,39.0
0.066,0.978,0.783,0.547,0.644,0.965,0.065,0.979,0.829,0.532,0.648,0.967,40.0
0.066,0.978,0.782,0.551,0.647,0.965,0.068,0.98,0.81,0.562,0.663,0.965,41.0
0.066,0.978,0.783,0.546,0.644,0.965,0.065,0.98,0.82,0.557,0.664,0.968,42.0
0.066,0.978,0.787,0.548,0.646,0.965,0.065,0.98,0.83,0.542,0.656,0.967,43.0
0.066,0.978,0.795,0.547,0.648,0.965,0.068,0.979,0.827,0.53,0.646,0.964,44.0
0.066,0.978,0.792,0.547,0.647,0.965,0.063,0.98,0.811,0.557,0.661,0.968,45.0
0.066,0.978,0.789,0.55,0.648,0.965,0.065,0.98,0.807,0.564,0.664,0.968,46.0
0.066,0.978,0.783,0.547,0.644,0.965,0.065,0.979,0.792,0.576,0.667,0.968,47.0
0.066,0.978,0.783,0.554,0.649,0.965,0.066,0.98,0.777,0.598,0.676,0.967,48.0
0.066,0.978,0.778,0.553,0.647,0.965,0.068,0.979,0.826,0.526,0.643,0.964,49.0
0.066,0.978,0.787,0.545,0.644,0.964,0.067,0.979,0.791,0.559,0.655,0.967,50.0
