Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.078,0.976,0.773,0.5,0.607,0.947,0.058,0.981,0.825,0.591,0.689,0.974,1.0
0.055,0.981,0.826,0.623,0.711,0.976,0.055,0.981,0.844,0.595,0.698,0.977,2.0
0.05,0.983,0.84,0.651,0.733,0.981,0.054,0.981,0.822,0.624,0.71,0.977,3.0
0.046,0.984,0.855,0.677,0.756,0.985,0.055,0.981,0.81,0.64,0.715,0.977,4.0
0.041,0.985,0.87,0.707,0.78,0.989,0.057,0.981,0.761,0.68,0.718,0.976,5.0
0.036,0.987,0.889,0.739,0.807,0.992,0.058,0.981,0.774,0.665,0.716,0.975,6.0
0.032,0.989,0.906,0.776,0.836,0.994,0.06,0.981,0.785,0.641,0.706,0.973,7.0
0.027,0.99,0.922,0.809,0.862,0.996,0.064,0.98,0.8,0.611,0.693,0.972,8.0
0.024,0.992,0.935,0.84,0.885,0.997,0.066,0.98,0.775,0.634,0.697,0.969,9.0
0.02,0.993,0.945,0.867,0.905,0.998,0.07,0.979,0.762,0.635,0.693,0.967,10.0
0.018,0.994,0.954,0.888,0.92,0.999,0.074,0.979,0.777,0.611,0.684,0.966,11.0
0.015,0.995,0.959,0.908,0.933,0.999,0.076,0.979,0.736,0.639,0.684,0.965,12.0
0.013,0.996,0.966,0.925,0.945,0.999,0.083,0.979,0.756,0.609,0.674,0.963,13.0
0.012,0.997,0.97,0.934,0.952,0.999,0.085,0.979,0.744,0.643,0.69,0.964,14.0
0.01,0.997,0.976,0.948,0.962,1.0,0.089,0.979,0.754,0.626,0.684,0.963,15.0
0.009,0.998,0.978,0.958,0.968,1.0,0.092,0.977,0.697,0.666,0.681,0.963,16.0
0.008,0.998,0.981,0.966,0.973,1.0,0.096,0.978,0.721,0.642,0.679,0.962,17.0
0.007,0.998,0.983,0.971,0.977,1.0,0.1,0.978,0.748,0.61,0.672,0.959,18.0
0.007,0.999,0.985,0.975,0.98,1.0,0.103,0.978,0.715,0.637,0.674,0.958,19.0
0.006,0.999,0.986,0.977,0.982,1.0,0.108,0.977,0.713,0.627,0.667,0.959,20.0
0.006,0.999,0.987,0.981,0.984,1.0,0.112,0.978,0.749,0.603,0.668,0.958,21.0
0.005,0.999,0.987,0.983,0.985,1.0,0.114,0.978,0.722,0.639,0.678,0.96,22.0
0.005,0.999,0.988,0.984,0.986,1.0,0.117,0.977,0.711,0.644,0.676,0.958,23.0
0.005,0.999,0.989,0.985,0.987,1.0,0.122,0.978,0.748,0.607,0.67,0.956,24.0
0.005,0.999,0.99,0.986,0.988,1.0,0.124,0.977,0.7,0.66,0.679,0.96,25.0
0.005,0.999,0.99,0.988,0.989,1.0,0.128,0.977,0.714,0.633,0.671,0.955,26.0
0.005,0.999,0.99,0.987,0.989,1.0,0.133,0.977,0.689,0.657,0.673,0.959,27.0
0.004,0.999,0.991,0.989,0.99,1.0,0.132,0.978,0.714,0.651,0.681,0.959,28.0
0.004,0.999,0.99,0.989,0.989,1.0,0.137,0.976,0.69,0.644,0.666,0.959,29.0
0.004,0.999,0.991,0.989,0.99,1.0,0.139,0.978,0.735,0.627,0.677,0.957,30.0
0.004,0.999,0.991,0.989,0.99,1.0,0.144,0.978,0.749,0.605,0.669,0.957,31.0
0.004,0.999,0.991,0.989,0.99,1.0,0.143,0.978,0.724,0.634,0.676,0.957,32.0
0.004,0.999,0.992,0.99,0.991,1.0,0.145,0.978,0.738,0.626,0.678,0.959,33.0
0.005,0.999,0.991,0.99,0.991,1.0,0.148,0.978,0.716,0.636,0.674,0.957,34.0
0.004,0.999,0.992,0.991,0.991,1.0,0.154,0.977,0.681,0.668,0.674,0.96,35.0
0.004,0.999,0.991,0.99,0.99,1.0,0.154,0.977,0.702,0.641,0.67,0.959,36.0
0.004,0.999,0.992,0.991,0.991,1.0,0.156,0.978,0.713,0.643,0.676,0.96,37.0
0.004,0.999,0.993,0.991,0.992,1.0,0.159,0.978,0.728,0.621,0.671,0.956,38.0
0.004,0.999,0.992,0.992,0.992,1.0,0.16,0.978,0.717,0.635,0.673,0.959,39.0
0.004,0.999,0.992,0.992,0.992,1.0,0.157,0.978,0.733,0.618,0.671,0.957,40.0
0.004,0.999,0.992,0.991,0.991,1.0,0.16,0.978,0.725,0.629,0.674,0.958,41.0
0.004,0.999,0.993,0.991,0.992,1.0,0.163,0.978,0.744,0.61,0.671,0.958,42.0
0.005,0.999,0.992,0.991,0.992,1.0,0.162,0.977,0.702,0.643,0.671,0.958,43.0
0.004,0.999,0.993,0.992,0.993,1.0,0.171,0.976,0.675,0.667,0.671,0.958,44.0
0.004,0.999,0.993,0.992,0.993,1.0,0.167,0.978,0.723,0.634,0.676,0.958,45.0
0.004,0.999,0.993,0.992,0.992,1.0,0.166,0.978,0.718,0.639,0.676,0.959,46.0
0.005,0.999,0.992,0.992,0.992,1.0,0.168,0.977,0.707,0.637,0.67,0.959,47.0
0.004,0.999,0.993,0.992,0.993,1.0,0.163,0.978,0.73,0.614,0.667,0.957,48.0
0.004,0.999,0.993,0.992,0.993,1.0,0.171,0.978,0.723,0.624,0.67,0.957,49.0
0.004,0.999,0.993,0.992,0.992,1.0,0.171,0.978,0.737,0.617,0.672,0.96,50.0
