Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.469,0.868,0.117,0.395,0.18,0.702,0.268,0.965,0.531,0.497,0.513,0.7,1.0
0.215,0.969,0.622,0.395,0.483,0.834,0.165,0.97,0.597,0.535,0.564,0.876,2.0
0.144,0.971,0.693,0.386,0.496,0.866,0.121,0.973,0.681,0.487,0.568,0.845,3.0
0.115,0.972,0.725,0.399,0.514,0.894,0.104,0.974,0.747,0.441,0.555,0.872,4.0
0.102,0.973,0.735,0.395,0.514,0.91,0.094,0.974,0.73,0.456,0.562,0.909,5.0
0.094,0.973,0.738,0.405,0.523,0.924,0.087,0.974,0.735,0.455,0.562,0.93,6.0
0.089,0.973,0.736,0.42,0.535,0.931,0.085,0.974,0.721,0.466,0.566,0.932,7.0
0.088,0.973,0.735,0.408,0.525,0.934,0.083,0.974,0.722,0.473,0.572,0.936,8.0
0.085,0.973,0.746,0.417,0.535,0.938,0.081,0.974,0.751,0.453,0.565,0.945,9.0
0.084,0.973,0.742,0.42,0.536,0.941,0.081,0.974,0.785,0.409,0.537,0.945,10.0
0.083,0.973,0.747,0.416,0.534,0.942,0.08,0.974,0.742,0.457,0.566,0.944,11.0
0.082,0.974,0.747,0.43,0.546,0.943,0.079,0.975,0.745,0.466,0.574,0.947,12.0
0.082,0.974,0.741,0.429,0.543,0.943,0.079,0.974,0.729,0.476,0.576,0.949,13.0
0.082,0.974,0.746,0.432,0.547,0.943,0.08,0.975,0.747,0.466,0.574,0.945,14.0
0.082,0.973,0.732,0.43,0.542,0.943,0.083,0.974,0.782,0.41,0.538,0.945,15.0
0.083,0.973,0.738,0.417,0.533,0.941,0.08,0.974,0.787,0.415,0.544,0.95,16.0
0.082,0.974,0.74,0.432,0.545,0.944,0.079,0.975,0.741,0.472,0.576,0.948,17.0
0.082,0.974,0.745,0.428,0.543,0.943,0.079,0.975,0.764,0.453,0.569,0.948,18.0
0.081,0.974,0.739,0.433,0.546,0.945,0.078,0.975,0.762,0.453,0.568,0.949,19.0
0.081,0.974,0.747,0.427,0.544,0.945,0.079,0.974,0.755,0.451,0.565,0.948,20.0
0.081,0.974,0.738,0.43,0.544,0.945,0.078,0.974,0.751,0.455,0.567,0.949,21.0
0.081,0.973,0.738,0.424,0.538,0.945,0.079,0.974,0.725,0.474,0.573,0.947,22.0
0.081,0.973,0.734,0.429,0.542,0.944,0.08,0.974,0.722,0.458,0.56,0.948,23.0
0.081,0.974,0.748,0.427,0.544,0.944,0.079,0.974,0.738,0.466,0.571,0.947,24.0
0.082,0.974,0.743,0.423,0.539,0.942,0.079,0.974,0.759,0.436,0.554,0.948,25.0
0.081,0.974,0.746,0.425,0.541,0.943,0.081,0.974,0.728,0.461,0.565,0.945,26.0
0.083,0.973,0.743,0.417,0.534,0.941,0.079,0.974,0.767,0.433,0.554,0.949,27.0
0.081,0.974,0.748,0.418,0.536,0.944,0.078,0.974,0.772,0.417,0.542,0.95,28.0
0.081,0.974,0.751,0.42,0.539,0.943,0.079,0.975,0.754,0.457,0.569,0.949,29.0
0.082,0.973,0.726,0.432,0.542,0.944,0.078,0.974,0.769,0.437,0.557,0.949,30.0
0.082,0.974,0.745,0.426,0.543,0.943,0.077,0.975,0.787,0.43,0.556,0.949,31.0
0.081,0.974,0.753,0.422,0.541,0.944,0.079,0.975,0.806,0.403,0.537,0.949,32.0
0.081,0.974,0.745,0.425,0.541,0.944,0.078,0.974,0.759,0.439,0.557,0.949,33.0
0.081,0.974,0.747,0.423,0.54,0.944,0.079,0.974,0.759,0.444,0.56,0.947,34.0
0.082,0.974,0.747,0.42,0.537,0.943,0.08,0.974,0.785,0.406,0.535,0.947,35.0
0.082,0.973,0.747,0.411,0.53,0.942,0.078,0.974,0.774,0.425,0.549,0.948,36.0
0.081,0.974,0.748,0.418,0.537,0.944,0.079,0.974,0.768,0.432,0.553,0.949,37.0
0.081,0.974,0.751,0.415,0.535,0.943,0.08,0.974,0.782,0.421,0.547,0.948,38.0
0.081,0.974,0.75,0.418,0.537,0.945,0.079,0.974,0.769,0.43,0.552,0.947,39.0
0.082,0.973,0.74,0.416,0.533,0.942,0.079,0.975,0.777,0.435,0.557,0.947,40.0
0.081,0.974,0.745,0.43,0.545,0.944,0.079,0.974,0.77,0.434,0.555,0.947,41.0
0.081,0.974,0.747,0.421,0.538,0.942,0.078,0.974,0.76,0.441,0.558,0.948,42.0
0.082,0.973,0.742,0.422,0.538,0.942,0.079,0.974,0.755,0.445,0.56,0.947,43.0
0.082,0.974,0.747,0.421,0.538,0.942,0.079,0.974,0.733,0.46,0.565,0.947,44.0
0.081,0.974,0.741,0.432,0.546,0.944,0.08,0.974,0.705,0.489,0.578,0.945,45.0
0.082,0.974,0.739,0.429,0.543,0.943,0.08,0.974,0.74,0.464,0.57,0.945,46.0
0.082,0.973,0.739,0.419,0.535,0.942,0.079,0.974,0.743,0.453,0.563,0.947,47.0
0.082,0.973,0.745,0.417,0.535,0.941,0.079,0.974,0.763,0.434,0.553,0.946,48.0
0.082,0.974,0.748,0.42,0.538,0.942,0.08,0.974,0.745,0.445,0.557,0.947,49.0
0.082,0.973,0.748,0.416,0.534,0.942,0.079,0.974,0.75,0.458,0.569,0.945,50.0
