Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.107,0.966,0.621,0.195,0.297,0.9,0.137,0.962,0.403,0.052,0.092,0.819,1.0
0.068,0.977,0.801,0.485,0.604,0.965,0.168,0.962,0.308,0.026,0.048,0.791,2.0
0.043,0.985,0.857,0.702,0.772,0.988,0.229,0.959,0.253,0.055,0.09,0.749,3.0
0.024,0.991,0.91,0.849,0.878,0.997,0.318,0.959,0.21,0.046,0.076,0.746,4.0
0.015,0.995,0.942,0.909,0.925,0.999,0.407,0.96,0.23,0.043,0.072,0.726,5.0
0.011,0.996,0.957,0.936,0.947,0.999,0.438,0.956,0.205,0.072,0.106,0.693,6.0
0.008,0.997,0.965,0.951,0.958,1.0,0.465,0.955,0.215,0.08,0.117,0.72,7.0
0.007,0.998,0.97,0.962,0.966,1.0,0.549,0.958,0.197,0.047,0.075,0.693,8.0
0.006,0.998,0.974,0.967,0.97,1.0,0.578,0.956,0.186,0.056,0.086,0.698,9.0
0.006,0.998,0.976,0.97,0.973,1.0,0.561,0.956,0.211,0.068,0.103,0.741,10.0
0.005,0.998,0.98,0.976,0.978,1.0,0.562,0.957,0.189,0.056,0.086,0.708,11.0
0.004,0.999,0.982,0.98,0.981,1.0,0.675,0.957,0.212,0.06,0.094,0.709,12.0
0.004,0.999,0.986,0.984,0.985,1.0,0.711,0.957,0.209,0.059,0.092,0.694,13.0
0.003,0.999,0.987,0.986,0.987,1.0,0.665,0.958,0.206,0.05,0.08,0.693,14.0
0.003,0.999,0.988,0.986,0.987,1.0,0.701,0.957,0.196,0.057,0.088,0.694,15.0
0.004,0.999,0.988,0.987,0.988,1.0,0.796,0.958,0.208,0.048,0.078,0.67,16.0
0.003,0.999,0.989,0.987,0.988,1.0,0.66,0.958,0.206,0.053,0.084,0.679,17.0
0.004,0.999,0.99,0.989,0.989,1.0,0.682,0.956,0.194,0.066,0.098,0.671,18.0
0.003,0.999,0.99,0.989,0.989,1.0,0.723,0.957,0.191,0.05,0.08,0.699,19.0
0.003,0.999,0.989,0.987,0.988,1.0,0.685,0.958,0.205,0.049,0.079,0.702,20.0
0.002,0.999,0.992,0.992,0.992,1.0,0.752,0.958,0.207,0.049,0.079,0.69,21.0
0.002,0.999,0.994,0.992,0.993,1.0,0.717,0.958,0.205,0.05,0.081,0.698,22.0
0.002,0.999,0.991,0.99,0.99,1.0,0.74,0.956,0.192,0.06,0.091,0.689,23.0
0.002,0.999,0.992,0.992,0.992,1.0,0.861,0.957,0.185,0.047,0.075,0.69,24.0
0.003,0.999,0.992,0.99,0.991,1.0,0.796,0.957,0.197,0.058,0.089,0.692,25.0
0.002,0.999,0.993,0.992,0.993,1.0,0.865,0.957,0.201,0.062,0.094,0.699,26.0
0.003,0.999,0.992,0.99,0.991,1.0,0.873,0.959,0.2,0.037,0.063,0.668,27.0
0.003,0.999,0.992,0.991,0.991,1.0,0.74,0.958,0.21,0.048,0.078,0.708,28.0
0.003,0.999,0.992,0.991,0.992,1.0,0.622,0.955,0.175,0.058,0.087,0.698,29.0
0.003,0.999,0.993,0.993,0.993,1.0,0.794,0.958,0.196,0.046,0.074,0.679,30.0
0.004,0.999,0.992,0.991,0.991,1.0,0.767,0.956,0.186,0.061,0.091,0.686,31.0
0.003,0.999,0.993,0.992,0.993,1.0,0.747,0.958,0.203,0.051,0.082,0.7,32.0
0.003,0.999,0.993,0.993,0.993,1.0,0.848,0.959,0.198,0.04,0.067,0.667,33.0
0.003,1.0,0.994,0.993,0.993,1.0,0.714,0.956,0.185,0.055,0.084,0.71,34.0
0.003,0.999,0.993,0.994,0.993,1.0,0.837,0.958,0.185,0.039,0.065,0.695,35.0
0.003,0.999,0.993,0.992,0.993,1.0,0.875,0.957,0.18,0.046,0.073,0.665,36.0
0.003,1.0,0.994,0.993,0.994,1.0,0.776,0.956,0.185,0.056,0.086,0.675,37.0
0.003,1.0,0.994,0.994,0.994,1.0,0.908,0.959,0.201,0.036,0.061,0.677,38.0
0.002,1.0,0.996,0.994,0.995,1.0,0.893,0.957,0.183,0.047,0.074,0.7,39.0
0.003,1.0,0.995,0.994,0.994,1.0,0.932,0.96,0.2,0.032,0.056,0.688,40.0
0.003,0.999,0.993,0.993,0.993,1.0,0.806,0.959,0.172,0.033,0.055,0.698,41.0
0.004,1.0,0.994,0.993,0.994,1.0,0.773,0.956,0.177,0.053,0.082,0.685,42.0
0.003,1.0,0.994,0.994,0.994,1.0,0.883,0.958,0.176,0.038,0.063,0.673,43.0
0.003,1.0,0.995,0.994,0.994,1.0,0.811,0.958,0.184,0.045,0.073,0.715,44.0
0.004,1.0,0.994,0.994,0.994,1.0,0.746,0.957,0.197,0.056,0.087,0.706,45.0
0.003,1.0,0.994,0.993,0.994,1.0,0.875,0.958,0.176,0.036,0.06,0.698,46.0
0.003,1.0,0.995,0.994,0.995,1.0,0.882,0.956,0.172,0.048,0.076,0.687,47.0
0.003,1.0,0.994,0.994,0.994,1.0,0.827,0.956,0.166,0.046,0.072,0.675,48.0
0.004,1.0,0.994,0.993,0.994,1.0,1.008,0.958,0.173,0.038,0.063,0.68,49.0
0.004,1.0,0.994,0.994,0.994,1.0,0.965,0.958,0.171,0.036,0.059,0.683,50.0
