Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.08,0.974,0.735,0.473,0.576,0.948,0.064,0.979,0.852,0.506,0.635,0.969,1.0
0.06,0.98,0.809,0.598,0.688,0.97,0.06,0.98,0.862,0.532,0.658,0.972,2.0
0.058,0.981,0.817,0.611,0.699,0.974,0.061,0.98,0.883,0.51,0.646,0.973,3.0
0.056,0.981,0.825,0.623,0.71,0.976,0.056,0.981,0.808,0.619,0.701,0.974,4.0
0.054,0.982,0.828,0.632,0.717,0.978,0.055,0.981,0.834,0.594,0.694,0.975,5.0
0.052,0.982,0.83,0.643,0.724,0.98,0.056,0.981,0.851,0.573,0.685,0.975,6.0
0.051,0.982,0.834,0.654,0.733,0.981,0.055,0.981,0.828,0.604,0.699,0.975,7.0
0.049,0.983,0.839,0.661,0.74,0.983,0.058,0.98,0.723,0.71,0.717,0.975,8.0
0.048,0.983,0.842,0.671,0.747,0.984,0.057,0.981,0.858,0.556,0.675,0.974,9.0
0.046,0.984,0.846,0.681,0.754,0.986,0.057,0.981,0.837,0.58,0.685,0.973,10.0
0.045,0.984,0.85,0.69,0.762,0.987,0.057,0.981,0.81,0.618,0.701,0.974,11.0
0.042,0.985,0.857,0.706,0.774,0.988,0.059,0.981,0.838,0.576,0.683,0.973,12.0
0.041,0.985,0.861,0.717,0.782,0.989,0.063,0.979,0.698,0.713,0.705,0.972,13.0
0.039,0.986,0.868,0.728,0.792,0.99,0.086,0.97,0.556,0.788,0.652,0.972,14.0
0.037,0.987,0.873,0.742,0.803,0.991,0.064,0.979,0.693,0.714,0.703,0.972,15.0
0.035,0.987,0.884,0.757,0.816,0.993,0.062,0.98,0.775,0.631,0.695,0.97,16.0
0.033,0.988,0.887,0.769,0.824,0.993,0.063,0.98,0.777,0.623,0.692,0.968,17.0
0.032,0.988,0.891,0.782,0.833,0.994,0.075,0.975,0.628,0.733,0.677,0.969,18.0
0.03,0.989,0.899,0.797,0.845,0.995,0.069,0.978,0.707,0.671,0.689,0.968,19.0
0.027,0.99,0.909,0.814,0.859,0.996,0.074,0.98,0.819,0.567,0.67,0.963,20.0
0.026,0.99,0.908,0.82,0.862,0.996,0.073,0.979,0.73,0.655,0.691,0.963,21.0
0.024,0.991,0.92,0.841,0.879,0.997,0.086,0.973,0.602,0.733,0.661,0.962,22.0
0.022,0.992,0.924,0.851,0.886,0.997,0.075,0.978,0.704,0.679,0.692,0.964,23.0
0.021,0.992,0.927,0.861,0.893,0.998,0.08,0.977,0.671,0.68,0.675,0.962,24.0
0.019,0.993,0.937,0.876,0.905,0.998,0.082,0.976,0.655,0.696,0.675,0.962,25.0
0.018,0.994,0.939,0.885,0.911,0.998,0.085,0.977,0.68,0.666,0.673,0.961,26.0
0.017,0.994,0.943,0.892,0.917,0.999,0.105,0.973,0.609,0.638,0.623,0.951,27.0
0.016,0.994,0.945,0.899,0.922,0.999,0.093,0.979,0.767,0.588,0.666,0.953,28.0
0.014,0.995,0.955,0.913,0.933,0.999,0.097,0.979,0.787,0.576,0.665,0.952,29.0
0.014,0.995,0.954,0.92,0.937,0.999,0.094,0.979,0.735,0.631,0.679,0.957,30.0
0.013,0.996,0.96,0.925,0.942,0.999,0.105,0.979,0.789,0.554,0.651,0.955,31.0
0.011,0.996,0.966,0.934,0.95,0.999,0.098,0.978,0.71,0.653,0.68,0.956,32.0
0.01,0.997,0.97,0.945,0.957,1.0,0.101,0.979,0.75,0.598,0.666,0.954,33.0
0.009,0.997,0.974,0.951,0.962,1.0,0.103,0.978,0.713,0.646,0.678,0.956,34.0
0.009,0.997,0.973,0.955,0.964,1.0,0.114,0.979,0.778,0.557,0.649,0.95,35.0
0.008,0.997,0.975,0.956,0.965,1.0,0.115,0.979,0.759,0.585,0.661,0.945,36.0
0.008,0.998,0.978,0.962,0.97,1.0,0.11,0.977,0.702,0.637,0.668,0.955,37.0
0.007,0.998,0.98,0.967,0.973,1.0,0.118,0.976,0.654,0.68,0.667,0.953,38.0
0.007,0.998,0.981,0.968,0.974,1.0,0.118,0.975,0.635,0.692,0.662,0.955,39.0
0.006,0.998,0.982,0.972,0.977,1.0,0.121,0.975,0.631,0.686,0.657,0.953,40.0
0.005,0.999,0.986,0.978,0.982,1.0,0.131,0.979,0.774,0.562,0.651,0.946,41.0
0.005,0.999,0.987,0.98,0.984,1.0,0.124,0.979,0.737,0.621,0.674,0.952,42.0
0.005,0.999,0.986,0.979,0.982,1.0,0.125,0.979,0.732,0.623,0.674,0.95,43.0
0.005,0.999,0.989,0.984,0.986,1.0,0.127,0.978,0.716,0.634,0.673,0.948,44.0
0.005,0.999,0.988,0.982,0.985,1.0,0.127,0.978,0.717,0.632,0.672,0.95,45.0
0.005,0.999,0.989,0.983,0.986,1.0,0.133,0.976,0.654,0.672,0.663,0.952,46.0
0.004,0.999,0.991,0.987,0.989,1.0,0.136,0.979,0.746,0.599,0.664,0.948,47.0
0.004,0.999,0.99,0.986,0.988,1.0,0.136,0.978,0.742,0.598,0.662,0.948,48.0
0.004,0.999,0.991,0.988,0.99,1.0,0.137,0.978,0.717,0.623,0.667,0.948,49.0
0.003,0.999,0.992,0.99,0.991,1.0,0.138,0.977,0.696,0.631,0.662,0.951,50.0
