Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.125,0.973,0.677,0.477,0.559,0.923,0.047,0.983,0.829,0.7,0.759,0.989,1.0
0.042,0.985,0.843,0.734,0.785,0.99,0.047,0.983,0.78,0.765,0.772,0.99,2.0
