Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.098,0.97,0.702,0.309,0.429,0.914,0.082,0.974,0.749,0.437,0.552,0.944,1.0
0.075,0.975,0.788,0.441,0.565,0.953,0.076,0.975,0.772,0.456,0.573,0.952,2.0
0.07,0.976,0.802,0.472,0.594,0.96,0.075,0.975,0.802,0.433,0.563,0.955,3.0
0.067,0.977,0.81,0.495,0.615,0.965,0.072,0.975,0.755,0.499,0.601,0.958,4.0
0.064,0.978,0.816,0.516,0.632,0.968,0.072,0.975,0.738,0.521,0.61,0.959,5.0
0.061,0.979,0.822,0.533,0.647,0.972,0.072,0.976,0.8,0.463,0.587,0.959,6.0
0.059,0.979,0.828,0.549,0.661,0.974,0.072,0.976,0.783,0.483,0.597,0.959,7.0
0.056,0.98,0.835,0.567,0.675,0.977,0.073,0.975,0.727,0.535,0.616,0.958,8.0
0.054,0.981,0.843,0.579,0.686,0.979,0.074,0.976,0.788,0.473,0.591,0.957,9.0
0.052,0.981,0.847,0.595,0.699,0.981,0.076,0.974,0.691,0.559,0.618,0.957,10.0
0.05,0.982,0.854,0.617,0.716,0.983,0.075,0.975,0.763,0.485,0.593,0.955,11.0
0.048,0.983,0.85,0.636,0.728,0.985,0.078,0.975,0.763,0.479,0.589,0.954,12.0
0.046,0.983,0.857,0.649,0.738,0.986,0.077,0.975,0.726,0.521,0.606,0.954,13.0
0.044,0.984,0.859,0.663,0.749,0.987,0.078,0.975,0.724,0.521,0.606,0.952,14.0
0.043,0.984,0.865,0.676,0.759,0.988,0.081,0.975,0.756,0.475,0.584,0.952,15.0
0.042,0.985,0.867,0.683,0.764,0.989,0.082,0.974,0.68,0.545,0.605,0.95,16.0
0.04,0.985,0.872,0.697,0.775,0.99,0.083,0.973,0.656,0.572,0.611,0.951,17.0
0.039,0.986,0.878,0.709,0.784,0.991,0.092,0.975,0.792,0.429,0.556,0.945,18.0
0.038,0.986,0.876,0.713,0.786,0.991,0.09,0.971,0.606,0.597,0.601,0.949,19.0
0.037,0.986,0.881,0.723,0.794,0.992,0.089,0.972,0.639,0.557,0.595,0.946,20.0
0.035,0.987,0.886,0.737,0.804,0.993,0.088,0.973,0.669,0.541,0.598,0.947,21.0
0.035,0.987,0.888,0.743,0.809,0.993,0.09,0.972,0.64,0.574,0.605,0.947,22.0
0.034,0.987,0.888,0.747,0.811,0.993,0.092,0.973,0.66,0.541,0.594,0.945,23.0
0.033,0.988,0.89,0.755,0.816,0.994,0.094,0.974,0.707,0.501,0.586,0.943,24.0
0.032,0.988,0.895,0.762,0.823,0.994,0.097,0.973,0.708,0.477,0.57,0.938,25.0
0.031,0.988,0.897,0.768,0.828,0.995,0.103,0.974,0.751,0.452,0.564,0.938,26.0
0.031,0.988,0.898,0.772,0.83,0.995,0.097,0.972,0.649,0.55,0.595,0.941,27.0
0.03,0.989,0.901,0.78,0.836,0.995,0.1,0.971,0.617,0.564,0.589,0.939,28.0
0.029,0.989,0.903,0.785,0.84,0.995,0.101,0.972,0.658,0.529,0.586,0.94,29.0
0.028,0.989,0.903,0.789,0.842,0.996,0.103,0.971,0.626,0.55,0.586,0.938,30.0
0.028,0.99,0.907,0.798,0.849,0.996,0.104,0.971,0.625,0.549,0.585,0.94,31.0
0.027,0.99,0.908,0.801,0.851,0.996,0.107,0.971,0.627,0.561,0.592,0.94,32.0
0.027,0.99,0.91,0.808,0.856,0.996,0.109,0.973,0.673,0.508,0.579,0.934,33.0
0.026,0.99,0.911,0.809,0.857,0.996,0.111,0.973,0.687,0.503,0.581,0.936,34.0
0.026,0.99,0.912,0.817,0.862,0.997,0.111,0.971,0.616,0.543,0.577,0.935,35.0
0.025,0.991,0.916,0.821,0.866,0.997,0.114,0.972,0.673,0.499,0.573,0.934,36.0
0.024,0.991,0.916,0.827,0.869,0.997,0.114,0.97,0.617,0.532,0.571,0.933,37.0
0.024,0.991,0.915,0.825,0.868,0.997,0.116,0.971,0.628,0.541,0.581,0.933,38.0
0.023,0.991,0.92,0.834,0.875,0.997,0.118,0.971,0.618,0.537,0.575,0.932,39.0
0.023,0.991,0.92,0.837,0.876,0.997,0.121,0.971,0.635,0.517,0.57,0.933,40.0
0.023,0.992,0.921,0.841,0.879,0.997,0.125,0.973,0.69,0.471,0.559,0.929,41.0
0.023,0.991,0.919,0.838,0.877,0.997,0.129,0.972,0.684,0.472,0.558,0.931,42.0
0.022,0.992,0.924,0.844,0.882,0.998,0.126,0.972,0.644,0.524,0.578,0.932,43.0
0.021,0.992,0.924,0.85,0.886,0.998,0.127,0.971,0.64,0.514,0.57,0.93,44.0
0.021,0.992,0.925,0.853,0.887,0.998,0.129,0.972,0.656,0.495,0.564,0.931,45.0
0.021,0.992,0.926,0.855,0.889,0.998,0.136,0.972,0.67,0.502,0.574,0.926,46.0
0.02,0.992,0.927,0.859,0.892,0.998,0.138,0.972,0.679,0.488,0.568,0.927,47.0
0.02,0.992,0.928,0.86,0.892,0.998,0.134,0.971,0.629,0.535,0.578,0.93,48.0
0.02,0.993,0.928,0.862,0.894,0.998,0.137,0.971,0.643,0.501,0.563,0.929,49.0
0.02,0.993,0.928,0.863,0.894,0.998,0.14,0.972,0.653,0.511,0.573,0.928,50.0
