Training loss,Training accuracy,Training precision,Training recall,Training F1_score,Training AUROC,Validation loss,Validation accuracy,Validation precision,Validation recall,Validation F1_score,Validation AUROC,Epoch
0.075,0.976,0.76,0.5,0.603,0.957,0.058,0.98,0.836,0.581,0.686,0.978,1.0
0.052,0.982,0.815,0.64,0.717,0.981,0.054,0.981,0.831,0.62,0.71,0.981,2.0
0.049,0.982,0.822,0.658,0.731,0.984,0.053,0.981,0.857,0.597,0.704,0.982,3.0
0.047,0.983,0.827,0.675,0.744,0.985,0.051,0.982,0.8,0.678,0.734,0.983,4.0
0.045,0.984,0.835,0.689,0.755,0.987,0.05,0.982,0.822,0.656,0.729,0.983,5.0
0.044,0.984,0.837,0.698,0.761,0.988,0.05,0.982,0.827,0.657,0.732,0.984,6.0
0.042,0.984,0.843,0.705,0.768,0.989,0.053,0.982,0.865,0.604,0.712,0.983,7.0
0.041,0.985,0.846,0.715,0.775,0.99,0.05,0.982,0.79,0.689,0.736,0.984,8.0
0.04,0.985,0.849,0.724,0.782,0.99,0.051,0.982,0.836,0.635,0.722,0.983,9.0
0.038,0.986,0.856,0.732,0.789,0.991,0.059,0.979,0.68,0.8,0.735,0.984,10.0
0.037,0.986,0.86,0.743,0.798,0.992,0.069,0.975,0.619,0.828,0.708,0.983,11.0
0.035,0.987,0.865,0.756,0.807,0.993,0.052,0.981,0.746,0.742,0.744,0.983,12.0
0.034,0.987,0.871,0.767,0.816,0.993,0.052,0.982,0.793,0.68,0.732,0.982,13.0
0.032,0.988,0.876,0.777,0.823,0.994,0.056,0.981,0.83,0.621,0.71,0.981,14.0
0.03,0.989,0.884,0.792,0.835,0.995,0.061,0.981,0.829,0.606,0.701,0.978,15.0
0.029,0.989,0.89,0.798,0.841,0.995,0.056,0.981,0.746,0.726,0.736,0.982,16.0
0.028,0.99,0.893,0.812,0.85,0.996,0.059,0.98,0.723,0.729,0.726,0.981,17.0
0.026,0.99,0.901,0.823,0.86,0.996,0.065,0.978,0.677,0.767,0.719,0.981,18.0
0.024,0.991,0.909,0.837,0.872,0.997,0.065,0.98,0.753,0.691,0.721,0.974,19.0
0.023,0.991,0.912,0.846,0.878,0.997,0.062,0.981,0.754,0.706,0.729,0.977,20.0
0.021,0.992,0.92,0.86,0.889,0.998,0.063,0.981,0.772,0.676,0.721,0.977,21.0
0.02,0.993,0.926,0.873,0.898,0.998,0.067,0.978,0.693,0.739,0.715,0.978,22.0
0.018,0.993,0.932,0.88,0.906,0.998,0.068,0.98,0.769,0.676,0.719,0.975,23.0
0.017,0.994,0.937,0.893,0.915,0.999,0.078,0.976,0.643,0.779,0.704,0.976,24.0
0.015,0.995,0.945,0.903,0.924,0.999,0.073,0.978,0.69,0.74,0.714,0.976,25.0
0.014,0.995,0.949,0.911,0.93,0.999,0.09,0.979,0.831,0.549,0.661,0.968,26.0
0.013,0.995,0.954,0.919,0.936,0.999,0.091,0.979,0.83,0.559,0.668,0.966,27.0
0.012,0.996,0.957,0.926,0.941,0.999,0.084,0.976,0.645,0.773,0.703,0.974,28.0
0.011,0.996,0.962,0.933,0.947,0.999,0.081,0.98,0.773,0.647,0.705,0.969,29.0
0.01,0.997,0.969,0.946,0.957,1.0,0.09,0.979,0.739,0.672,0.704,0.963,30.0
0.009,0.997,0.974,0.954,0.964,1.0,0.091,0.98,0.762,0.652,0.703,0.965,31.0
0.008,0.997,0.974,0.956,0.965,1.0,0.089,0.979,0.735,0.688,0.711,0.969,32.0
0.008,0.998,0.978,0.962,0.97,1.0,0.087,0.979,0.732,0.697,0.714,0.972,33.0
0.007,0.998,0.979,0.966,0.973,1.0,0.091,0.978,0.689,0.733,0.71,0.971,34.0
0.006,0.998,0.983,0.973,0.978,1.0,0.094,0.979,0.751,0.663,0.704,0.964,35.0
0.006,0.999,0.985,0.975,0.98,1.0,0.093,0.979,0.731,0.683,0.706,0.969,36.0
0.005,0.999,0.984,0.977,0.981,1.0,0.099,0.978,0.702,0.72,0.711,0.968,37.0
0.005,0.999,0.988,0.982,0.985,1.0,0.103,0.98,0.79,0.636,0.705,0.966,38.0
0.004,0.999,0.988,0.982,0.985,1.0,0.1,0.978,0.694,0.715,0.705,0.971,39.0
0.004,0.999,0.99,0.984,0.987,1.0,0.101,0.979,0.745,0.676,0.709,0.969,40.0
0.004,0.999,0.988,0.984,0.986,1.0,0.103,0.98,0.754,0.665,0.707,0.967,41.0
0.004,0.999,0.991,0.987,0.989,1.0,0.104,0.979,0.752,0.666,0.706,0.968,42.0
0.003,0.999,0.992,0.989,0.991,1.0,0.126,0.974,0.619,0.757,0.681,0.971,43.0
0.003,0.999,0.992,0.989,0.99,1.0,0.108,0.978,0.705,0.708,0.707,0.969,44.0
0.003,0.999,0.991,0.989,0.99,1.0,0.113,0.979,0.725,0.697,0.711,0.968,45.0
0.003,0.999,0.991,0.989,0.99,1.0,0.113,0.979,0.745,0.675,0.708,0.968,46.0
0.003,0.999,0.993,0.991,0.992,1.0,0.114,0.98,0.76,0.66,0.707,0.968,47.0
0.003,0.999,0.993,0.992,0.993,1.0,0.112,0.979,0.738,0.677,0.706,0.968,48.0
0.003,0.999,0.993,0.992,0.993,1.0,0.114,0.979,0.75,0.663,0.704,0.968,49.0
0.003,0.999,0.994,0.992,0.993,1.0,0.144,0.974,0.623,0.78,0.692,0.971,50.0
